 EPOCH1D v4.9.2   v4.9.2-0-ged589c1e-clean 1522760112.66               

 Loaded 65536 particles of species "Electron"
 Loaded 65536 particles of species "Ion"
Wrote normal  dump number  296 at time  0.296455089607E-13 and iteration    632
Wrote normal  dump number  297 at time  0.297393238625E-13 and iteration    634
Wrote normal  dump number  298 at time  0.298331387643E-13 and iteration    636
Wrote normal  dump number  299 at time  0.299269536661E-13 and iteration    638
Wrote full    dump number  300 at time  0.300207685678E-13 and iteration    640
Wrote normal  dump number  301 at time  0.301145834696E-13 and iteration    642
Wrote normal  dump number  302 at time  0.302083983714E-13 and iteration    644
Wrote normal  dump number  303 at time  0.303022132732E-13 and iteration    646
Wrote normal  dump number  304 at time  0.304429356258E-13 and iteration    649
Wrote normal  dump number  305 at time  0.305367505276E-13 and iteration    651
Wrote normal  dump number  306 at time  0.306305654294E-13 and iteration    653
Wrote normal  dump number  307 at time  0.307243803311E-13 and iteration    655
Wrote normal  dump number  308 at time  0.308181952329E-13 and iteration    657
Wrote normal  dump number  309 at time  0.309120101347E-13 and iteration    659
Wrote full    dump number  310 at time  0.310058250365E-13 and iteration    661
Wrote normal  dump number  311 at time  0.311465473891E-13 and iteration    664
Wrote normal  dump number  312 at time  0.312403622909E-13 and iteration    666
Wrote normal  dump number  313 at time  0.313341771927E-13 and iteration    668
Wrote normal  dump number  314 at time  0.314279920945E-13 and iteration    670
Wrote normal  dump number  315 at time  0.315218069962E-13 and iteration    672
Wrote normal  dump number  316 at time  0.316156218980E-13 and iteration    674
Wrote normal  dump number  317 at time  0.317094367998E-13 and iteration    676
Wrote normal  dump number  318 at time  0.318032517015E-13 and iteration    678
Wrote normal  dump number  319 at time  0.319439740542E-13 and iteration    681
Wrote full    dump number  320 at time  0.320377889560E-13 and iteration    683
Wrote normal  dump number  321 at time  0.321316038578E-13 and iteration    685
Wrote normal  dump number  322 at time  0.322254187595E-13 and iteration    687
Wrote normal  dump number  323 at time  0.323192336613E-13 and iteration    689
Wrote normal  dump number  324 at time  0.324130485631E-13 and iteration    691
Wrote normal  dump number  325 at time  0.325068634649E-13 and iteration    693
Wrote normal  dump number  326 at time  0.326006783666E-13 and iteration    695
Wrote normal  dump number  327 at time  0.327414007193E-13 and iteration    698
Wrote normal  dump number  328 at time  0.328352156211E-13 and iteration    700
Wrote normal  dump number  329 at time  0.329290305228E-13 and iteration    702
Wrote full    dump number  330 at time  0.330228454246E-13 and iteration    704
Wrote normal  dump number  331 at time  0.331166603264E-13 and iteration    706
Wrote normal  dump number  332 at time  0.332104752282E-13 and iteration    708
Wrote normal  dump number  333 at time  0.333042901299E-13 and iteration    710
Wrote normal  dump number  334 at time  0.334450124826E-13 and iteration    713
Wrote normal  dump number  335 at time  0.335388273844E-13 and iteration    715
Wrote normal  dump number  336 at time  0.336326422862E-13 and iteration    717
Wrote normal  dump number  337 at time  0.337264571879E-13 and iteration    719
Wrote normal  dump number  338 at time  0.338202720897E-13 and iteration    721
Wrote normal  dump number  339 at time  0.339140869915E-13 and iteration    723
Wrote full    dump number  340 at time  0.340079018932E-13 and iteration    725
Wrote normal  dump number  341 at time  0.341017167950E-13 and iteration    727
Wrote normal  dump number  342 at time  0.342424391477E-13 and iteration    730
Wrote normal  dump number  343 at time  0.343362540495E-13 and iteration    732
Wrote normal  dump number  344 at time  0.344300689512E-13 and iteration    734
Wrote normal  dump number  345 at time  0.345238838530E-13 and iteration    736
Wrote normal  dump number  346 at time  0.346176987548E-13 and iteration    738
Wrote normal  dump number  347 at time  0.347115136566E-13 and iteration    740
Wrote normal  dump number  348 at time  0.348053285583E-13 and iteration    742
Wrote normal  dump number  349 at time  0.349460509110E-13 and iteration    745
Wrote full    dump number  350 at time  0.350398658128E-13 and iteration    747
Wrote normal  dump number  351 at time  0.351336807145E-13 and iteration    749
Wrote normal  dump number  352 at time  0.352274956163E-13 and iteration    751
Wrote normal  dump number  353 at time  0.353213105181E-13 and iteration    753
Wrote normal  dump number  354 at time  0.354151254199E-13 and iteration    755
Wrote normal  dump number  355 at time  0.355089403216E-13 and iteration    757
Wrote normal  dump number  356 at time  0.356027552234E-13 and iteration    759
Wrote normal  dump number  357 at time  0.357434775761E-13 and iteration    762
Wrote normal  dump number  358 at time  0.358372924779E-13 and iteration    764
Wrote normal  dump number  359 at time  0.359311073796E-13 and iteration    766
Wrote full    dump number  360 at time  0.360249222814E-13 and iteration    768
Wrote normal  dump number  361 at time  0.361187371832E-13 and iteration    770
Wrote normal  dump number  362 at time  0.362125520849E-13 and iteration    772
Wrote normal  dump number  363 at time  0.363063669867E-13 and iteration    774
Wrote normal  dump number  364 at time  0.364001818885E-13 and iteration    776
Wrote normal  dump number  365 at time  0.365409042412E-13 and iteration    779
Wrote normal  dump number  366 at time  0.366347191429E-13 and iteration    781
Wrote normal  dump number  367 at time  0.367285340447E-13 and iteration    783
Wrote normal  dump number  368 at time  0.368223489465E-13 and iteration    785
Wrote normal  dump number  369 at time  0.369161638483E-13 and iteration    787
Wrote full    dump number  370 at time  0.370099787500E-13 and iteration    789
Wrote normal  dump number  371 at time  0.371037936518E-13 and iteration    791
Wrote normal  dump number  372 at time  0.372445160045E-13 and iteration    794
Wrote normal  dump number  373 at time  0.373383309062E-13 and iteration    796
Wrote normal  dump number  374 at time  0.374321458080E-13 and iteration    798
Wrote normal  dump number  375 at time  0.375259607098E-13 and iteration    800
Wrote normal  dump number  376 at time  0.376197756116E-13 and iteration    802
Wrote normal  dump number  377 at time  0.377135905133E-13 and iteration    804
Wrote normal  dump number  378 at time  0.378074054151E-13 and iteration    806
Wrote normal  dump number  379 at time  0.379012203169E-13 and iteration    808
Wrote full    dump number  380 at time  0.380419426696E-13 and iteration    811
Wrote normal  dump number  381 at time  0.381357575713E-13 and iteration    813
Wrote normal  dump number  382 at time  0.382295724731E-13 and iteration    815
Wrote normal  dump number  383 at time  0.383233873749E-13 and iteration    817
Wrote normal  dump number  384 at time  0.384172022766E-13 and iteration    819
Wrote normal  dump number  385 at time  0.385110171784E-13 and iteration    821
Wrote normal  dump number  386 at time  0.386048320802E-13 and iteration    823
Wrote normal  dump number  387 at time  0.387455544329E-13 and iteration    826
Wrote normal  dump number  388 at time  0.388393693346E-13 and iteration    828
Wrote normal  dump number  389 at time  0.389331842364E-13 and iteration    830
Wrote full    dump number  390 at time  0.390269991382E-13 and iteration    832
Wrote normal  dump number  391 at time  0.391208140400E-13 and iteration    834
Wrote normal  dump number  392 at time  0.392146289417E-13 and iteration    836
Wrote normal  dump number  393 at time  0.393084438435E-13 and iteration    838
Wrote normal  dump number  394 at time  0.394022587453E-13 and iteration    840
Wrote normal  dump number  395 at time  0.395429810979E-13 and iteration    843
Wrote normal  dump number  396 at time  0.396367959997E-13 and iteration    845
Wrote normal  dump number  397 at time  0.397306109015E-13 and iteration    847
Wrote normal  dump number  398 at time  0.398244258033E-13 and iteration    849
Wrote normal  dump number  399 at time  0.399182407050E-13 and iteration    851
Wrote full    dump number  400 at time  0.400120556068E-13 and iteration    853
Wrote normal  dump number  401 at time  0.401058705086E-13 and iteration    855
Wrote normal  dump number  402 at time  0.402465928613E-13 and iteration    858
Wrote normal  dump number  403 at time  0.403404077630E-13 and iteration    860
Wrote normal  dump number  404 at time  0.404342226648E-13 and iteration    862
Wrote normal  dump number  405 at time  0.405280375666E-13 and iteration    864
Wrote normal  dump number  406 at time  0.406218524683E-13 and iteration    866
Wrote normal  dump number  407 at time  0.407156673701E-13 and iteration    868
Wrote normal  dump number  408 at time  0.408094822719E-13 and iteration    870
Wrote normal  dump number  409 at time  0.409032971737E-13 and iteration    872
Wrote full    dump number  410 at time  0.410440195263E-13 and iteration    875
Wrote normal  dump number  411 at time  0.411378344281E-13 and iteration    877
Wrote normal  dump number  412 at time  0.412316493299E-13 and iteration    879
